freiburg1_desk
image      depth      pose
38 1305031454.591635    1305031454.602019    1305031454.5895
39 1305031454.627580    1305031454.639284    1305031454.6295
40 1305031454.659528    1305031454.669573    1305031454.6595
41 1305031454.691884    1305031454.702030    1305031454.6895
42 1305031454.727659    1305031454.740764    1305031454.7295
43 1305031454.759732    1305031454.772865    1305031454.7595
44 1305031454.791641    1305031454.802574    1305031454.7896
45 1305031454.827570    1305031454.840500    1305031454.8295
46 1305031454.859620    1305031454.870269    1305031454.8595
47 1305031454.891764    1305031454.901065    1305031454.8895
48 1305031454.927567    1305031454.940240    1305031454.9295
49 1305031454.959648    1305031454.973081    1305031454.9606
50 1305031454.991937    1305031455.010759    1305031454.9894
51 1305031455.027799    1305031455.040446    1305031455.0295
52 1305031455.059636    1305031455.074282    1305031455.0595
53 1305031455.091700    1305031455.074282    1305031455.0895
54 1305031455.127695    1305031455.142700    1305031455.1295
55 1305031455.159720    1305031455.172771    1305031455.1596
56 1305031455.191655    1305031455.210307    1305031455.1895
57 1305031455.227581    1305031455.240960    1305031455.2295
58 1305031455.259631    1305031455.273001    1305031455.2595
59 1305031455.291831    1305031455.310303    1305031455.2894
60 1305031455.327766    1305031455.342381    1305031455.3294
61 1305031455.359630    1305031455.374120    1305031455.3596
62 1305031455.391665    1305031455.374120    1305031455.3895
63 1305031455.427642    1305031455.442380    1305031455.4294
64 1305031455.459589    1305031455.473168    1305031455.4595
65 1305031455.491637    1305031455.509397    1305031455.4902
66 1305031455.527610    1305031455.540835    1305031455.5295
67 1305031455.559669    1305031455.572996    1305031455.5594
68 1305031455.591645    1305031455.608802    1305031455.5894
69 1305031455.627617    1305031455.641333    1305031455.6294
70 1305031455.659615    1305031455.672887    1305031455.6594
71 1305031455.691605    1305031455.707680    1305031455.6895
72 1305031455.727628    1305031455.742005    1305031455.7295
73 1305031455.759683    1305031455.773667    1305031455.7594
74 1305031455.791666    1305031455.809109    1305031455.7895
75 1305031455.827590    1305031455.838364    1305031455.8295
76 1305031455.859526    1305031455.872220    1305031455.8595
77 1305031455.891657    1305031455.908418    1305031455.8894
78 1305031455.927955    1305031455.939606    1305031455.9294
79 1305031455.959716    1305031455.973594    1305031455.9595
80 1305031455.991694    1305031456.008998    1305031455.9895
81 1305031456.027770    1305031456.041930    1305031456.0295
82 1305031456.059713    1305031456.073846    1305031456.0595
83 1305031456.091707    1305031456.108963    1305031456.0904
84 1305031456.127645    1305031456.140836    1305031456.1295
85 1305031456.159731    1305031456.173198    1305031456.1594
86 1305031456.191658    1305031456.208934    1305031456.1894
87 1305031456.227678    1305031456.240996    1305031456.2294
88 1305031456.259614    1305031456.277928    1305031456.2594
89 1305031456.291675    1305031456.277928    1305031456.2894
90 1305031456.327718    1305031456.341659    1305031456.3294
91 1305031456.359846    1305031456.377115    1305031456.3595
92 1305031456.391619    1305031456.377115    1305031456.3894
93 1305031456.427662    1305031456.440717    1305031456.4295
94 1305031456.459610    1305031456.476027    1305031456.4594
95 1305031456.491677    1305031456.476027    1305031456.4894
96 1305031456.527641    1305031456.541832    1305031456.5294
97 1305031456.559608    1305031456.576087    1305031456.5595
98 1305031456.591651    1305031456.576087    1305031456.5894
99 1305031456.627612    1305031456.640699    1305031456.6294
100 1305031456.659665    1305031456.675835    1305031456.6595
101 1305031456.691612    1305031456.675835    1305031456.6895
102 1305031456.727693    1305031456.740863    1305031456.7294
103 1305031456.759615    1305031456.777218    1305031456.7594
104 1305031456.791649    1305031456.777218    1305031456.7895
105 1305031456.827603    1305031456.841050    1305031456.8294
106 1305031456.859634    1305031456.878006    1305031456.8595
107 1305031456.891672    1305031456.878006    1305031456.8894
108 1305031456.927690    1305031456.942298    1305031456.9294
109 1305031456.959667    1305031456.942298    1305031456.9594
110 1305031456.991709    1305031457.006193    1305031456.9894
111 1305031457.027648    1305031457.042512    1305031457.0295
112 1305031457.059621    1305031457.076011    1305031457.0594
113 1305031457.091655    1305031457.076011    1305031457.0894
114 1305031457.127632    1305031457.142120    1305031457.1295
115 1305031457.159693    1305031457.142120    1305031457.1594
116 1305031457.191735    1305031457.177463    1305031457.1894
117 1305031457.227543    1305031457.240792    1305031457.2295
118 1305031457.259691    1305031457.277247    1305031457.2594
119 1305031457.291656    1305031457.277247    1305031457.2895
120 1305031457.327548    1305031457.342954    1305031457.3294
121 1305031457.359712    1305031457.376037    1305031457.3594
122 1305031457.391684    1305031457.376037    1305031457.3894
123 1305031457.427641    1305031457.441357    1305031457.4294
124 1305031457.459614    1305031457.476577    1305031457.4594
125 1305031457.491705    1305031457.476577    1305031457.4894
126 1305031457.527638    1305031457.543946    1305031457.5294
127 1305031457.559685    1305031457.543946    1305031457.5595
128 1305031457.591678    1305031457.576581    1305031457.5894
129 1305031457.627526    1305031457.643534    1305031457.6294
130 1305031457.659632    1305031457.675414    1305031457.6594
131 1305031457.691570    1305031457.675414    1305031457.6896
132 1305031457.727669    1305031457.745071    1305031457.7294
133 1305031457.759556    1305031457.773518    1305031457.7595
134 1305031457.791567    1305031457.807824    1305031457.7894
135 1305031457.827699    1305031457.842853    1305031457.8294
136 1305031457.859623    1305031457.875920    1305031457.8594
137 1305031457.891593    1305031457.906126    1305031457.8894
138 1305031457.927633    1305031457.942604    1305031457.9295
139 1305031457.959632    1305031457.942604    1305031457.9594
140 1305031457.991644    1305031457.976744    1305031457.9894
141 1305031458.027845    1305031458.046303    1305031458.0294
142 1305031458.059689    1305031458.046303    1305031458.0594
143 1305031458.091690    1305031458.077315    1305031458.0894
144 1305031458.127605    1305031458.144808    1305031458.1294
145 1305031458.159638    1305031458.144808    1305031458.1594
146 1305031458.191646    1305031458.178039    1305031458.1894
147 1305031458.227611    1305031458.245729    1305031458.2294
148 1305031458.259934    1305031458.245729    1305031458.2594
149 1305031458.291664    1305031458.277447    1305031458.2894
150 1305031458.327628    1305031458.343898    1305031458.3294
151 1305031458.359590    1305031458.343898    1305031458.3602
152 1305031458.391626    1305031458.376213    1305031458.3894
153 1305031458.427598    1305031458.443957    1305031458.4294
154 1305031458.459637    1305031458.443957    1305031458.4594
155 1305031458.491696    1305031458.476034    1305031458.4894
156 1305031458.527737    1305031458.544401    1305031458.5294
157 1305031458.559628    1305031458.544401    1305031458.5594
158 1305031458.591641    1305031458.576178    1305031458.5894
159 1305031458.627659    1305031458.643659    1305031458.6294
160 1305031458.659623    1305031458.643659    1305031458.6607
161 1305031458.691674    1305031458.676991    1305031458.6894
162 1305031458.727650    1305031458.744924    1305031458.7294
163 1305031458.759945    1305031458.773802    1305031458.7596
164 1305031458.791632    1305031458.773802    1305031458.7895
165 1305031458.827564    1305031458.842919    1305031458.8294
166 1305031458.859887    1305031458.875889    1305031458.8594
167 1305031458.891665    1305031458.875889    1305031458.8894
168 1305031458.927621    1305031458.943997    1305031458.9294
169 1305031458.959617    1305031458.943997    1305031458.9594
170 1305031458.991647    1305031458.976007    1305031458.9894
171 1305031459.027665    1305031459.012560    1305031459.0295
172 1305031459.059631    1305031459.073657    1305031459.0594
173 1305031459.091650    1305031459.073657    1305031459.0894
174 1305031459.127618    1305031459.112711    1305031459.1294
175 1305031459.159639    1305031459.144497    1305031459.1594
176 1305031459.191674    1305031459.176463    1305031459.1894
177 1305031459.227607    1305031459.244159    1305031459.2294
178 1305031459.259760    1305031459.274941    1305031459.2594
179 1305031459.291690    1305031459.274941    1305031459.2894
180 1305031459.327632    1305031459.311921    1305031459.3294
181 1305031459.359651    1305031459.374084    1305031459.3594
182 1305031459.391667    1305031459.408831    1305031459.3894
183 1305031459.427646    1305031459.443181    1305031459.4294
184 1305031459.459679    1305031459.473401    1305031459.4594
185 1305031459.491555    1305031459.473401    1305031459.4895
186 1305031459.527594    1305031459.544431    1305031459.5294
187 1305031459.559647    1305031459.544431    1305031459.5593
188 1305031459.591695    1305031459.576817    1305031459.5894
189 1305031459.627608    1305031459.611939    1305031459.6294
190 1305031459.659641    1305031459.675678    1305031459.6594
191 1305031459.691604    1305031459.675678    1305031459.6894
192 1305031459.727551    1305031459.743425    1305031459.7294
193 1305031459.759635    1305031459.743425    1305031459.7594
194 1305031459.791650    1305031459.776577    1305031459.7894
195 1305031459.827664    1305031459.812562    1305031459.8294
196 1305031459.859660    1305031459.844736    1305031459.8594
197 1305031459.891596    1305031459.877006    1305031459.8894
198 1305031459.927607    1305031459.943616    1305031459.9294
199 1305031459.959650    1305031459.943616    1305031459.9594
200 1305031459.991725    1305031459.979430    1305031459.9895
201 1305031460.027565    1305031460.011909    1305031460.0294
202 1305031460.059659    1305031460.043717    1305031460.0597
203 1305031460.091717    1305031460.079449    1305031460.0893
204 1305031460.127690    1305031460.111951    1305031460.1294
205 1305031460.159678    1305031460.144204    1305031460.1594
206 1305031460.191559    1305031460.178730    1305031460.1894
207 1305031460.227761    1305031460.243467    1305031460.2294
208 1305031460.259667    1305031460.243467    1305031460.2596
209 1305031460.291689    1305031460.279164    1305031460.2893
210 1305031460.327512    1305031460.342879    1305031460.3294
211 1305031460.359630    1305031460.342879    1305031460.3594
212 1305031460.391611    1305031460.377806    1305031460.3894
213 1305031460.427477    1305031460.444036    1305031460.4294
214 1305031460.459620    1305031460.444036    1305031460.4599
215 1305031460.491504    1305031460.479856    1305031460.4894
216 1305031460.527570    1305031460.544245    1305031460.5294
217 1305031460.559647    1305031460.544245    1305031460.5599
218 1305031460.591855    1305031460.579561    1305031460.5893
219 1305031460.627625    1305031460.612190    1305031460.6294
220 1305031460.659764    1305031460.644011    1305031460.6595
221 1305031460.691671    1305031460.679350    1305031460.6894
222 1305031460.727675    1305031460.711684    1305031460.7294
223 1305031460.759667    1305031460.743767    1305031460.7594
224 1305031460.791660    1305031460.779201    1305031460.7894
225 1305031460.827660    1305031460.843836    1305031460.8294
226 1305031460.859714    1305031460.843836    1305031460.8593
227 1305031460.891774    1305031460.879093    1305031460.8893
228 1305031460.927562    1305031460.943375    1305031460.9294
229 1305031460.959649    1305031460.943375    1305031460.9595
230 1305031460.991668    1305031460.979083    1305031460.9894
231 1305031461.027620    1305031461.043398    1305031461.0294
232 1305031461.059662    1305031461.043398    1305031461.0598
233 1305031461.091728    1305031461.079602    1305031461.0893
234 1305031461.127586    1305031461.111961    1305031461.1294
235 1305031461.159720    1305031461.144098    1305031461.1593
236 1305031461.192013    1305031461.179883    1305031461.1893
237 1305031461.227607    1305031461.211180    1305031461.2293
238 1305031461.259642    1305031461.246864    1305031461.2593
239 1305031461.291656    1305031461.278888    1305031461.2894
240 1305031461.327751    1305031461.311240    1305031461.3294
241 1305031461.359709    1305031461.346875    1305031461.3593
242 1305031461.391708    1305031461.378850    1305031461.3893
243 1305031461.427624    1305031461.411130    1305031461.4294
244 1305031461.459781    1305031461.447015    1305031461.4593
245 1305031461.491677    1305031461.478901    1305031461.4893
246 1305031461.527705    1305031461.512120    1305031461.5293
247 1305031461.559677    1305031461.547338    1305031461.5593
248 1305031461.591690    1305031461.578847    1305031461.5893
249 1305031461.627541    1305031461.609662    1305031461.6293
250 1305031461.659622    1305031461.646970    1305031461.6594
251 1305031461.691563    1305031461.676203    1305031461.6894
252 1305031461.727602    1305031461.711212    1305031461.7293
253 1305031461.759684    1305031461.746919    1305031461.7593
254 1305031461.791612    1305031461.778616    1305031461.7893
255 1305031461.827615    1305031461.811319    1305031461.8293
256 1305031461.859767    1305031461.847090    1305031461.8593
257 1305031461.891723    1305031461.879162    1305031461.8893
258 1305031461.927758    1305031461.911121    1305031461.9293
259 1305031461.959703    1305031461.947264    1305031461.9593
260 1305031461.991590    1305031461.979223    1305031461.9893
261 1305031462.027675    1305031462.011791    1305031462.0293
262 1305031462.059837    1305031462.047463    1305031462.0593
263 1305031462.091777    1305031462.079285    1305031462.0893
264 1305031462.127739    1305031462.112081    1305031462.1293
265 1305031462.159646    1305031462.147634    1305031462.1593
266 1305031462.191641    1305031462.179358    1305031462.1893
267 1305031462.227633    1305031462.212836    1305031462.2293
268 1305031462.259765    1305031462.248986    1305031462.2593
269 1305031462.291629    1305031462.280774    1305031462.2894
270 1305031462.327540    1305031462.311931    1305031462.3293
271 1305031462.359732    1305031462.347816    1305031462.3594
272 1305031462.391695    1305031462.379950    1305031462.3893
273 1305031462.427635    1305031462.413016    1305031462.4293
274 1305031462.459897    1305031462.448295    1305031462.4594
275 1305031462.492008    1305031462.480843    1305031462.4893
276 1305031462.527670    1305031462.517041    1305031462.5293
277 1305031462.559862    1305031462.548959    1305031462.5593
278 1305031462.591862    1305031462.581088    1305031462.5893
279 1305031462.627851    1305031462.617123    1305031462.6293
280 1305031462.659660    1305031462.648708    1305031462.6593
281 1305031462.692548    1305031462.680788    1305031462.6893
282 1305031462.727652    1305031462.716812    1305031462.7293
283 1305031462.759782    1305031462.748732    1305031462.7593
284 1305031462.791943    1305031462.780885    1305031462.7893
285 1305031462.827816    1305031462.816821    1305031462.8293
286 1305031462.859782    1305031462.848525    1305031462.8593
287 1305031462.891847    1305031462.880471    1305031462.8893
288 1305031462.927607    1305031462.916800    1305031462.9294
289 1305031462.959676    1305031462.947939    1305031462.9593
290 1305031462.995550    1305031462.979943    1305031462.9993
291 1305031463.027667    1305031463.016121    1305031463.0294
292 1305031463.059810    1305031463.050783    1305031463.0593
293 1305031463.095809    1305031463.076870    1305031463.0993
294 1305031463.127550    1305031463.116806    1305031463.1293
295 1305031463.159787    1305031463.148565    1305031463.1593
296 1305031463.195657    1305031463.180505    1305031463.1994
297 1305031463.227784    1305031463.217123    1305031463.2294
298 1305031463.260034    1305031463.248719    1305031463.2593
299 1305031463.295737    1305031463.278737    1305031463.2993
300 1305031463.327739    1305031463.317110    1305031463.3293
301 1305031463.359750    1305031463.348740    1305031463.3593
302 1305031463.395630    1305031463.380514    1305031463.3994
303 1305031463.427716    1305031463.416326    1305031463.4293
304 1305031463.459756    1305031463.444773    1305031463.4596
305 1305031463.495629    1305031463.480415    1305031463.4993
306 1305031463.527670    1305031463.516994    1305031463.5294
307 1305031463.559751    1305031463.548505    1305031463.5593
308 1305031463.595600    1305031463.580684    1305031463.5993
309 1305031463.627588    1305031463.616671    1305031463.6294
310 1305031463.659766    1305031463.646147    1305031463.6593
311 1305031463.695640    1305031463.683908    1305031463.6993
312 1305031463.727588    1305031463.716110    1305031463.7293
313 1305031463.759674    1305031463.747849    1305031463.7594
314 1305031463.795647    1305031463.783912    1305031463.7998
315 1305031463.827761    1305031463.815883    1305031463.8293
316 1305031463.859910    1305031463.848094    1305031463.8593
317 1305031463.895648    1305031463.883817    1305031463.8993
318 1305031463.927664    1305031463.917433    1305031463.9293
319 1305031463.959680    1305031463.944435    1305031463.9593
320 1305031463.995821    1305031463.983748    1305031463.9993
321 1305031464.027703    1305031464.015867    1305031464.0293
322 1305031464.059652    1305031464.047778    1305031464.0593
323 1305031464.095634    1305031464.083152    1305031464.0993
324 1305031464.127681    1305031464.115837    1305031464.1293
325 1305031464.159817    1305031464.147663    1305031464.1593
326 1305031464.195585    1305031464.183566    1305031464.1993
327 1305031464.227624    1305031464.212447    1305031464.2293
328 1305031464.259644    1305031464.247602    1305031464.2593
329 1305031464.295667    1305031464.283694    1305031464.2993
330 1305031464.327866    1305031464.315699    1305031464.3293
331 1305031464.359684    1305031464.347553    1305031464.3593
332 1305031464.395611    1305031464.383465    1305031464.3993
333 1305031464.427634    1305031464.415539    1305031464.4293
334 1305031464.459689    1305031464.444269    1305031464.4593
335 1305031464.495633    1305031464.487561    1305031464.4998
336 1305031464.527574    1305031464.513688    1305031464.5294
337 1305031464.559703    1305031464.548007    1305031464.5593
338 1305031464.595698    1305031464.584260    1305031464.5993
339 1305031464.627672    1305031464.615688    1305031464.6293
340 1305031464.659749    1305031464.648851    1305031464.6593
341 1305031464.695663    1305031464.684318    1305031464.6993
342 1305031464.727652    1305031464.716305    1305031464.7293
343 1305031464.759740    1305031464.748588    1305031464.7593
344 1305031464.796021    1305031464.784268    1305031464.7993
345 1305031464.827759    1305031464.816195    1305031464.8293
346 1305031464.859654    1305031464.848283    1305031464.8593
347 1305031464.895817    1305031464.884177    1305031464.8993
348 1305031464.927799    1305031464.916391    1305031464.9293
349 1305031464.959763    1305031464.952471    1305031464.9593
350 1305031464.995687    1305031464.984257    1305031464.9993
351 1305031465.027823    1305031465.015390    1305031465.0293
352 1305031465.059749    1305031465.048430    1305031465.0593
353 1305031465.095700    1305031465.083338    1305031465.0993
354 1305031465.127664    1305031465.115475    1305031465.1293
355 1305031465.159842    1305031465.151558    1305031465.1593
356 1305031465.195564    1305031465.183558    1305031465.1993
357 1305031465.227907    1305031465.215832    1305031465.2293
358 1305031465.259807    1305031465.251788    1305031465.2593
359 1305031465.295623    1305031465.283737    1305031465.2993
360 1305031465.327674    1305031465.315985    1305031465.3293
361 1305031465.359948    1305031465.351729    1305031465.3593
362 1305031465.395586    1305031465.383701    1305031465.3993
363 1305031465.427697    1305031465.416543    1305031465.4293
364 1305031465.460125    1305031465.452401    1305031465.4593
365 1305031465.495703    1305031465.483803    1305031465.4993
366 1305031465.527622    1305031465.516043    1305031465.5293
367 1305031465.559812    1305031465.551838    1305031465.5594
368 1305031465.595599    1305031465.583570    1305031465.5993
369 1305031465.627688    1305031465.615685    1305031465.6293
370 1305031465.660060    1305031465.651645    1305031465.6593
371 1305031465.695668    1305031465.684759    1305031465.6993
372 1305031465.727682    1305031465.716279    1305031465.7293
373 1305031465.759766    1305031465.753153    1305031465.7593
374 1305031465.795937    1305031465.784387    1305031465.7993
375 1305031465.827996    1305031465.816591    1305031465.8293
376 1305031465.859861    1305031465.852860    1305031465.8592
377 1305031465.895494    1305031465.884370    1305031465.8993
378 1305031465.927495    1305031465.912828    1305031465.9292
379 1305031465.959710    1305031465.952840    1305031465.9593
380 1305031465.995753    1305031465.984183    1305031465.9993
381 1305031466.027644    1305031466.016599    1305031466.0293
382 1305031466.059757    1305031466.052655    1305031466.0593
383 1305031466.095840    1305031466.083913    1305031466.0993
384 1305031466.127640    1305031466.116400    1305031466.1293
385 1305031466.160428    1305031466.152540    1305031466.1593
386 1305031466.195833    1305031466.184186    1305031466.1993
387 1305031466.227951    1305031466.220477    1305031466.2293
388 1305031466.259815    1305031466.252491    1305031466.2593
389 1305031466.295737    1305031466.284389    1305031466.2993
390 1305031466.327702    1305031466.320055    1305031466.3293
391 1305031466.359829    1305031466.352082    1305031466.3593
392 1305031466.395784    1305031466.384479    1305031466.3993
393 1305031466.427819    1305031466.420844    1305031466.4293
394 1305031466.459790    1305031466.452369    1305031466.4592
395 1305031466.495809    1305031466.483315    1305031466.4993
396 1305031466.527538    1305031466.519548    1305031466.5293
397 1305031466.560353    1305031466.552219    1305031466.5593
398 1305031466.595936    1305031466.584438    1305031466.5992
399 1305031466.627549    1305031466.620424    1305031466.6293
400 1305031466.659688    1305031466.648654    1305031466.6592
401 1305031466.695822    1305031466.684412    1305031466.6993
402 1305031466.728074    1305031466.719744    1305031466.7293
403 1305031466.759637    1305031466.748734    1305031466.7593
404 1305031466.795604    1305031466.784300    1305031466.7993
405 1305031466.827879    1305031466.819502    1305031466.8293
406 1305031466.859665    1305031466.851527    1305031466.8593
407 1305031466.895694    1305031466.883430    1305031466.8993
408 1305031466.927756    1305031466.919411    1305031466.9292
409 1305031466.959728    1305031466.952451    1305031466.9593
410 1305031466.995712    1305031466.984027    1305031466.9994
411 1305031467.027843    1305031467.020424    1305031467.0292
412 1305031467.059700    1305031467.052391    1305031467.0593
413 1305031467.095687    1305031467.084130    1305031467.0992
414 1305031467.128974    1305031467.120528    1305031467.1293
415 1305031467.195663    1305031467.184216    1305031467.1992
416 1305031467.227704    1305031467.220466    1305031467.2293
417 1305031467.259694    1305031467.252275    1305031467.2592
418 1305031467.295846    1305031467.284258    1305031467.2992
419 1305031467.328008    1305031467.318028    1305031467.3292
420 1305031467.359654    1305031467.349355    1305031467.3592
421 1305031467.395756    1305031467.383844    1305031467.3993
422 1305031467.427783    1305031467.420160    1305031467.4292
423 1305031467.459692    1305031467.452057    1305031467.4592
424 1305031467.496058    1305031467.484357    1305031467.5092
425 1305031467.527663    1305031467.520535    1305031467.5293
426 1305031467.559763    1305031467.552164    1305031467.5592
427 1305031467.595989    1305031467.584354    1305031467.5993
428 1305031467.627532    1305031467.618680    1305031467.6292
429 1305031467.659626    1305031467.651977    1305031467.6593
430 1305031467.695886    1305031467.686044    1305031467.6992
431 1305031467.727535    1305031467.718326    1305031467.7293
432 1305031467.759907    1305031467.752580    1305031467.7592
433 1305031467.796075    1305031467.788562    1305031467.7992
434 1305031467.827800    1305031467.820454    1305031467.8293
435 1305031467.859729    1305031467.852678    1305031467.8592
436 1305031467.895947    1305031467.888472    1305031467.8992
437 1305031467.927754    1305031467.920800    1305031467.9293
438 1305031467.959826    1305031467.952485    1305031467.9593
439 1305031467.995754    1305031467.988523    1305031467.9992
440 1305031468.028107    1305031468.020491    1305031468.0292
441 1305031468.059850    1305031468.052668    1305031468.0592
442 1305031468.095867    1305031468.088379    1305031468.0992
443 1305031468.127816    1305031468.120522    1305031468.1292
444 1305031468.159864    1305031468.152356    1305031468.1593
445 1305031468.195985    1305031468.188327    1305031468.1993
446 1305031468.228158    1305031468.220648    1305031468.2292
447 1305031468.259754    1305031468.252517    1305031468.2593
448 1305031468.295830    1305031468.288361    1305031468.2992
449 1305031468.327847    1305031468.320522    1305031468.3293
450 1305031468.359787    1305031468.352594    1305031468.3592
451 1305031468.395860    1305031468.384700    1305031468.3992
452 1305031468.428025    1305031468.420595    1305031468.4292
453 1305031468.459759    1305031468.452605    1305031468.4592
454 1305031468.495809    1305031468.488646    1305031468.4993
455 1305031468.527756    1305031468.520786    1305031468.5292
456 1305031468.559739    1305031468.552701    1305031468.5592
457 1305031468.595768    1305031468.588614    1305031468.5992
458 1305031468.627626    1305031468.620590    1305031468.6292
459 1305031468.659579    1305031468.656644    1305031468.6592
460 1305031468.695835    1305031468.688643    1305031468.6992
461 1305031468.727785    1305031468.720560    1305031468.7292
462 1305031468.759628    1305031468.756725    1305031468.7593
463 1305031468.795796    1305031468.788562    1305031468.7993
464 1305031468.829247    1305031468.817997    1305031468.8307
465 1305031468.895873    1305031468.889220    1305031468.8992
466 1305031468.928141    1305031468.920539    1305031468.9292
467 1305031468.959594    1305031468.956482    1305031468.9592
468 1305031468.995711    1305031468.986011    1305031468.9992
469 1305031469.027699    1305031469.020731    1305031469.0292
470 1305031469.059832    1305031469.056318    1305031469.0592
471 1305031469.095723    1305031469.088069    1305031469.0992
472 1305031469.127679    1305031469.119984    1305031469.1292
473 1305031469.159703    1305031469.155046    1305031469.1593
474 1305031469.195540    1305031469.184648    1305031469.1992
475 1305031469.227754    1305031469.219541    1305031469.2292
476 1305031469.259586    1305031469.256002    1305031469.2593
477 1305031469.296754    1305031469.288263    1305031469.2993
478 1305031469.359592    1305031469.356116    1305031469.3592
479 1305031469.395695    1305031469.388556    1305031469.3992
480 1305031469.427651    1305031469.420278    1305031469.4293
481 1305031469.459668    1305031469.456563    1305031469.4592
482 1305031469.495744    1305031469.488520    1305031469.4993
483 1305031469.527622    1305031469.520417    1305031469.5294
484 1305031469.559645    1305031469.556139    1305031469.5592
485 1305031469.595755    1305031469.588500    1305031469.5992
486 1305031469.627752    1305031469.620563    1305031469.6292
487 1305031469.659590    1305031469.656279    1305031469.6592
488 1305031469.695613    1305031469.687925    1305031469.6992
489 1305031469.727679    1305031469.718943    1305031469.7292
490 1305031469.759599    1305031469.756754    1305031469.7595
491 1305031469.795621    1305031469.784733    1305031469.7992
492 1305031469.827526    1305031469.820544    1305031469.8292
493 1305031469.859574    1305031469.854359    1305031469.8592
494 1305031469.895755    1305031469.885343    1305031469.8992
495 1305031469.927854    1305031469.921773    1305031469.9292
496 1305031469.959805    1305031469.953180    1305031469.9592
497 1305031469.995551    1305031469.985327    1305031469.9992
498 1305031470.027694    1305031470.024714    1305031470.0292
499 1305031470.059638    1305031470.057400    1305031470.0592
500 1305031470.095944    1305031470.088874    1305031470.0992
501 1305031470.127633    1305031470.124820    1305031470.1292
502 1305031470.159626    1305031470.156744    1305031470.1592
503 1305031470.196092    1305031470.188876    1305031470.1992
504 1305031470.227618    1305031470.224776    1305031470.2292
505 1305031470.259965    1305031470.253015    1305031470.2592
506 1305031470.295718    1305031470.287867    1305031470.2992
507 1305031470.327644    1305031470.324266    1305031470.3292
508 1305031470.359624    1305031470.356871    1305031470.3592
509 1305031470.395823    1305031470.388056    1305031470.3992
510 1305031470.427641    1305031470.424090    1305031470.4292
511 1305031470.459721    1305031470.455875    1305031470.4592
512 1305031470.495686    1305031470.487958    1305031470.4992
513 1305031470.527689    1305031470.524431    1305031470.5292
514 1305031470.559677    1305031470.556484    1305031470.5592
515 1305031470.595760    1305031470.588797    1305031470.5992
516 1305031470.627729    1305031470.624535    1305031470.6292
517 1305031470.659690    1305031470.656787    1305031470.6592
518 1305031470.695630    1305031470.688640    1305031470.6992
519 1305031470.727654    1305031470.724461    1305031470.7292
520 1305031470.759682    1305031470.755944    1305031470.7592
521 1305031470.795615    1305031470.788407    1305031470.7993
522 1305031470.827831    1305031470.820633    1305031470.8292
523 1305031470.859645    1305031470.855509    1305031470.8592
524 1305031470.895722    1305031470.886079    1305031470.8992
525 1305031470.927684    1305031470.924410    1305031470.9292
526 1305031470.959647    1305031470.956439    1305031470.9592
527 1305031470.995996    1305031470.988276    1305031470.9992
528 1305031471.027644    1305031471.024309    1305031471.0292
529 1305031471.059636    1305031471.056616    1305031471.0592
530 1305031471.095777    1305031471.088440    1305031471.0992
531 1305031471.127663    1305031471.123837    1305031471.1292
532 1305031471.159649    1305031471.155886    1305031471.1592
533 1305031471.195703    1305031471.192698    1305031471.1992
534 1305031471.227569    1305031471.224404    1305031471.2292
535 1305031471.259722    1305031471.256397    1305031471.2592
536 1305031471.296068    1305031471.288603    1305031471.2992
